epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,19042.1,1.30766,0.51478,0.79916,0.9906,0.96639,0.99307,0.64344,1.02489,0.48707,0.81539,0.0014192,0.0014192,0.0014192
90,19258.3,1.23717,0.52322,0.80738,0.98549,0.96639,0.99303,0.6799,0.97993,0.41112,0.81773,0.0014126,0.0014126,0.0014126
91,19440.2,1.20803,0.52383,0.81103,0.99008,0.97479,0.99356,0.69738,1.04787,0.43433,0.8211,0.001406,0.001406,0.001406
92,19679.5,1.27496,0.50451,0.80482,0.99599,0.98319,0.99422,0.69191,0.9667,0.42723,0.81339,0.0013994,0.0013994,0.0013994
93,19897.4,1.21793,0.51134,0.80019,0.99135,0.96319,0.98833,0.69478,0.9979,0.4655,0.81297,0.0013928,0.0013928,0.0013928
94,20100.3,1.21179,0.50926,0.80485,0.99143,0.97194,0.98711,0.70356,0.89235,0.42399,0.81098,0.0013862,0.0013862,0.0013862
95,20344.4,1.23627,0.49257,0.80432,0.98824,0.98319,0.99443,0.7011,0.98304,0.4527,0.8135,0.0013796,0.0013796,0.0013796
96,20560.5,1.24159,0.50659,0.81062,0.98311,0.97815,0.99388,0.69566,1.02906,0.4846,0.82284,0.001373,0.001373,0.001373
97,20759.3,1.24395,0.52655,0.80547,0.98464,0.97479,0.99425,0.68086,0.95133,0.4671,0.81113,0.0013664,0.0013664,0.0013664
98,21009.7,1.28039,0.51425,0.81016,1,0.96723,0.99381,0.7118,0.91498,0.43129,0.80973,0.0013598,0.0013598,0.0013598
99,21238.7,1.24463,0.51602,0.80433,0.99334,0.95798,0.9934,0.65745,0.96109,0.46406,0.81692,0.0013532,0.0013532,0.0013532
100,21440.7,1.26968,0.54127,0.80794,0.98282,0.97479,0.99337,0.69762,0.97753,0.42905,0.81248,0.0013466,0.0013466,0.0013466
101,21622.1,1.19788,0.50343,0.81175,0.99146,0.97526,0.99361,0.71312,0.97094,0.51617,0.80854,0.00134,0.00134,0.00134
102,21838.8,1.20365,0.52361,0.80342,0.98431,0.97479,0.99409,0.69387,0.93475,0.50025,0.8074,0.0013334,0.0013334,0.0013334
103,22041.1,1.26586,0.51512,0.79364,1,0.98103,0.99452,0.70212,0.94453,0.50736,0.81231,0.0013268,0.0013268,0.0013268
104,22288.6,1.25925,0.54059,0.79175,0.98179,0.97479,0.99326,0.67251,0.94258,0.43478,0.81363,0.0013202,0.0013202,0.0013202
105,22472,1.20299,0.50723,0.79494,0.98645,0.98319,0.99458,0.69099,0.90338,0.43007,0.80918,0.0013136,0.0013136,0.0013136
106,22686.5,1.24596,0.5054,0.80324,0.98539,0.97479,0.99319,0.70371,0.94759,0.4566,0.81129,0.001307,0.001307,0.001307
107,22938.8,1.19728,0.53764,0.80595,1,0.98703,0.995,0.72085,0.87342,0.42276,0.81272,0.0013004,0.0013004,0.0013004
108,23187.5,1.24386,0.51077,0.80647,1,0.96591,0.99459,0.70958,0.96135,0.47679,0.81341,0.0012938,0.0012938,0.0012938
109,23430.4,1.28648,0.54552,0.80976,0.99879,0.98319,0.99492,0.70303,0.98739,0.45501,0.81354,0.0012872,0.0012872,0.0012872
110,23613.1,1.24537,0.51248,0.80917,0.99151,0.98124,0.99458,0.70161,0.8888,0.42065,0.8096,0.0012806,0.0012806,0.0012806
111,23796.5,1.2322,0.48862,0.79369,0.99528,0.95798,0.98877,0.68551,0.93004,0.42783,0.81037,0.001274,0.001274,0.001274
112,23981.6,1.21977,0.51329,0.78199,0.99456,0.98319,0.99422,0.70533,0.96411,0.42244,0.81242,0.0012674,0.0012674,0.0012674
113,24166.6,1.24891,0.49176,0.80619,1,0.98021,0.995,0.70007,0.97909,0.45183,0.81312,0.0012608,0.0012608,0.0012608
114,24419.3,1.24471,0.51336,0.78609,0.99975,0.98319,0.99483,0.71139,0.9858,0.43868,0.81134,0.0012542,0.0012542,0.0012542
115,24617.4,1.24161,0.51343,0.79642,0.98212,0.98319,0.99442,0.70003,0.94653,0.41211,0.81051,0.0012476,0.0012476,0.0012476
116,24812.8,1.27039,0.50363,0.79972,0.97684,0.97479,0.99248,0.70704,0.98475,0.41705,0.81852,0.001241,0.001241,0.001241
117,25016.2,1.23136,0.49593,0.80228,0.98289,0.9652,0.98657,0.68731,0.97199,0.42969,0.81272,0.0012344,0.0012344,0.0012344
118,25214.7,1.24196,0.51272,0.8126,0.96602,0.97479,0.99307,0.69142,0.95187,0.42584,0.80872,0.0012278,0.0012278,0.0012278
119,25410.8,1.27653,0.50578,0.80798,0.98318,0.98253,0.99326,0.69119,0.93988,0.42379,0.81256,0.0012212,0.0012212,0.0012212
120,25606.2,1.24416,0.53252,0.7992,1,0.97397,0.99436,0.69081,0.953,0.41774,0.81406,0.0012146,0.0012146,0.0012146
121,25790.3,1.22691,0.48882,0.79184,0.99256,0.96639,0.99405,0.68906,0.95667,0.44572,0.81181,0.001208,0.001208,0.001208
122,25984.2,1.18711,0.48626,0.80374,0.99715,0.98319,0.99444,0.71641,0.92412,0.42284,0.80929,0.0012014,0.0012014,0.0012014
123,26170.5,1.19978,0.48575,0.79186,0.99715,0.98319,0.99437,0.7063,0.95723,0.4444,0.81313,0.0011948,0.0011948,0.0011948
124,26350.5,1.22644,0.52068,0.79929,0.98845,0.98319,0.9945,0.70667,0.90209,0.40029,0.80955,0.0011882,0.0011882,0.0011882
125,26532.8,1.2475,0.52227,0.79923,0.99546,0.97479,0.99436,0.67835,0.98355,0.4258,0.81638,0.0011816,0.0011816,0.0011816
126,26717,1.25085,0.50982,0.80231,1,0.99026,0.995,0.70571,0.92469,0.42532,0.81073,0.001175,0.001175,0.001175
127,26904.3,1.17107,0.47847,0.78479,0.96682,0.97941,0.9926,0.69761,0.92815,0.42684,0.8144,0.0011684,0.0011684,0.0011684
128,27087.1,1.20153,0.50315,0.78946,0.99152,0.98235,0.99383,0.70365,0.9136,0.51321,0.81363,0.0011618,0.0011618,0.0011618
129,27293.1,1.1864,0.47181,0.79412,0.98768,0.97479,0.99393,0.71699,0.91595,0.41582,0.8077,0.0011552,0.0011552,0.0011552
130,27533.8,1.22158,0.48305,0.80634,0.98316,0.98103,0.99384,0.71029,0.86152,0.41109,0.80434,0.0011486,0.0011486,0.0011486
131,27761.2,1.22065,0.50768,0.79886,0.96636,0.96555,0.99244,0.6706,0.90989,0.45568,0.80524,0.001142,0.001142,0.001142
132,28000.1,1.21069,0.48888,0.7967,0.98996,0.97479,0.99386,0.71025,0.91758,0.41352,0.80887,0.0011354,0.0011354,0.0011354
133,28216.2,1.16574,0.47192,0.78429,0.98984,0.97479,0.99386,0.70455,0.87749,0.38925,0.80412,0.0011288,0.0011288,0.0011288
134,28434.7,1.13274,0.49026,0.78948,0.99553,0.98319,0.99459,0.71002,0.87616,0.4049,0.8058,0.0011222,0.0011222,0.0011222
135,28615,1.1708,0.49361,0.79073,0.98719,0.96639,0.99303,0.7071,0.95341,0.42186,0.81214,0.0011156,0.0011156,0.0011156
136,28832.6,1.21812,0.49017,0.80194,0.97474,0.96639,0.99203,0.72083,0.94021,0.41321,0.80442,0.001109,0.001109,0.001109
137,29036.5,1.19902,0.49922,0.8001,0.99144,0.97307,0.99368,0.70266,0.92336,0.41877,0.80954,0.0011024,0.0011024,0.0011024
