epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,2261.83,1.21262,0.50806,0.79505,0.95809,0.96066,0.99101,0.69087,0.86106,0.40782,0.8055,0.0013136,0.0013136,0.0013136
106,2283.31,1.23851,0.50181,0.80306,0.98314,0.97985,0.99327,0.70211,0.86296,0.40325,0.80823,0.001307,0.001307,0.001307
107,2304.68,1.21402,0.5438,0.80746,0.99139,0.96796,0.99374,0.7123,0.873,0.4271,0.80783,0.0013004,0.0013004,0.0013004
108,2326.03,1.23859,0.49185,0.80603,1,0.96953,0.99483,0.72271,0.92581,0.42234,0.81285,0.0012938,0.0012938,0.0012938
109,2347.54,1.29575,0.53412,0.80698,0.98088,0.98319,0.9937,0.70453,0.87195,0.39382,0.80591,0.0012872,0.0012872,0.0012872
110,2369.13,1.22685,0.50125,0.80753,0.9915,0.98078,0.99459,0.70382,0.86513,0.4189,0.81128,0.0012806,0.0012806,0.0012806
111,2390.53,1.22611,0.48134,0.7923,0.98301,0.97268,0.99331,0.70968,0.89498,0.39523,0.81208,0.001274,0.001274,0.001274
112,2411.94,1.20761,0.50205,0.78185,0.99137,0.96488,0.99392,0.7132,0.93091,0.39291,0.81237,0.0012674,0.0012674,0.0012674
113,2433.2,1.23646,0.48591,0.80259,1,0.97367,0.99411,0.72779,0.88099,0.39966,0.80808,0.0012608,0.0012608,0.0012608
114,2454.69,1.21387,0.50636,0.78422,1,0.97653,0.99459,0.68246,0.96951,0.44863,0.81422,0.0012542,0.0012542,0.0012542
115,2476.01,1.21983,0.50345,0.79617,0.97506,0.98544,0.99364,0.70692,0.95412,0.41624,0.81266,0.0012476,0.0012476,0.0012476
116,2497.37,1.2635,0.5115,0.79889,0.99148,0.97796,0.99419,0.70622,0.93577,0.41913,0.81314,0.001241,0.001241,0.001241
117,2518.62,1.2503,0.49987,0.80078,1,0.97359,0.99443,0.70383,0.88906,0.41097,0.80734,0.0012344,0.0012344,0.0012344
